name;year
Donatella Firmani;2022
Nick Koudas;2022
Paolo Merialdo;2022
Divesh Srivastava;2022
Emmanouil Sylligardos;2023
Paul Boniol;2023
John Paparrizos;2023
Panos E. Trahanias;2023
Themis Palpanas;2023
Liang Lin;2023
Yuhan Li;2023
Bin Wu 0003;2023
Huijun Mai;2023
Renjie Lou;2023
Jian Tan;2023
Feifei Li 0001;2023
Mossad Helali;2022
Essam Mansour 0001;2022
Ibrahim Abdelaziz;2022
Julian Dolby;2022
Kavitha Srinivas;2022
Michael Armbrust;2020
Tathagata Das;2020
Sameer Paranjpye;2020
Reynold Xin;2020
Shixiong Zhu;2020
Ali Ghodsi 0002;2020
Burak Yavuz;2020
Mukul Murthy;2020
Joseph Torres;2020
Liwen Sun;2020
Peter A. Boncz;2020
Mostafa Mokhtar;2020
Herman Van Hovell;2020
Adrian Ionescu;2020
Alicja Luszczak;2020
Michal Switakowski;2020
Takuya Ueshin;2020
Xiao Li;2020
Michal Szafranski;2020
Pieter Senster;2020
Matei Zaharia;2020
Shixuan Sun;2020
Xibo Sun;2020
Yulin Che;2020
Qiong Luo 0001;2020
Bingsheng He;2020
Zongheng Yang;2020
Amog Kamsetty;2020
Sifei Luan 0001;2020
Eric Liang;2020
Yan Duan;2020
Xi Chen 0022;2020
Ion Stoica;2020
Ramon Antonio Rodriges Zalipynis;2022
Nikita A. Terlych;2022
Yuhao Zhang;2023
Arun Kumar 0001;2023
Sergey Melnik 0001;2020
Andrey Gubarev;2020
Jing Jing Long;2020
Geoffrey Romer;2020
Shiva Shivakumar;2020
Matt Tolton;2020
Theo Vassilakis;2020
Hossein Ahmadi;2020
Dan Delorey;2020
Slava Min;2020
Mosha Pasumansky;2020
Jeff Shute;2020
Satoshi Koide;2020
Chuan Xiao 0001;2020
Yoshiharu Ishikawa;2020
Elias Stehle;2020
Hans-Arno Jacobsen;2020
Arkaprava Saha;2021
Ruben Brokkelkamp;2021
Yllka Velaj;2021
Arijit Khan 0001;2021
Francesco Bonchi;2021
Eamonn J. Keogh;2023
Prashanth Menon;2020
Amadou Ngom;2020
Todd C. Mowry;2020
Andrew Pavlo;2020
Lin Ma 0006;2020
Benjamin Hilprecht;2022
Carsten Binnig;2022
Minhui Xie;2023
Youyou Lu;2023
Qing Wang 0031;2023
Yangyang Feng;2023
Jiaqiang Liu;2023
Kai Ren;2023
Jiwu Shu;2023
Yeye He;2020
Zhongjun Jin;2020
Surajit Chaudhuri;2020
Ryan McKenna;2022
Brett Mullins;2022
Daniel Sheldon;2022
Gerome Miklau;2022
Min Shen;2020
Ye Zhou;2020
Chandni Singh;2020
Pengfei Li 0005;2023
Hua Lu 0001;2023
Rong Zhu;2023
Bolin Ding;2023
Long Yang;2023
Gang Pan 0001;2023
Theofilos Mailis;2021
Yannis Kotidis;2021
Stamatis Christoforidis;2021
Evgeny Kharlamov;2021
Yannis E. Ioannidis;2021
Georgia Koutrika;2023
Jun Yang 0001;2023
Tianyang Xu;2022
Zhao Lu;2022
Yuanyuan Zhu;2022
Tianyu Li 0001;2020
Matthew Butrovich;2020
Amadou Ngom;2020
Wan Shen Lim;2020
Wes McKinney;2020
Andrew Pavlo;2020
Robert Lasch;2022
Thomas Legler;2022
Norman May;2022
Bernhard Scheirle;2022
Kai-Uwe Sattler;2022
Serafeim Papadias;2022
Zoi Kaoudi;2022
Jorge-Arnulfo Quiané-Ruiz;2022
Volker Markl;2022
Stefan Manegold;2021
Dominik Durner;2023
Viktor Leis;2023
Thomas Neumann 0001;2023
Ishita Doshi;2021
Dhritiman Das;2021
Ashish Bhutani;2021
Rajeev Kumar;2021
Rushi Bhatt;2021
Niranjan Balasubramanian;2021
Weicheng Wang;2022
Raymond Chi-Wing Wong;2022
Ge Lv;2023
Lei Chen 0002;2023
Phanwadee Sinthong;2021
Dhaval Patel 0002;2021
Nianjun Zhou;2021
Shrey Shrivastava;2021
Arun Iyengar;2021
Anuradha Bhamidipaty;2021
Ritesh Sarkhel;2021
Arnab Nandi 0001;2021
Yinda Zhang 0002;2020
Jinyang Li;2020
Yutian Lei;2020
Tong Yang 0003;2020
Zhetao Li;2020
Gong Zhang;2020
Bin Cui 0001;2020
Xiang Li;2023
Fabing Li;2023
Mingyu Gao;2023
Kyle Deeds;2020
Brian Hentschel;2020
Stratos Idreos;2020
Cédric Renggli;2022
Xiaozhe Yao;2022
Luka Kolar;2022
Luka Rimanic;2022
Ana Klimovic;2022
Ce Zhang 0001;2022
Monica Chiosa;2022
Fabio Maschi;2022
Ingo Müller 0002;2022
Gustavo Alonso;2022
Norman May;2022
Jinfeng Li;2020
Yuliang Li 0001;2020
Xiaolan Wang 0001;2020
Wang-Chiew Tan;2020
Yuchen Peng;2023
Ke Chen 0005;2023
Lidan Shou;2023
